"ID","LAT","LON","DEPTH","YEAR","MONTH","DAY","TEMP","NITRATE","SILICATE","PHOSPHATE","TCHL","ALPHA","PMB","PROVNUM","EK"
1,21.04866667,-31.168,110.359,1992,6,22,21.391,0.03,NA,0,0.284,0.06469,2.69289,7,41.6276085948369
1,21.04866667,-31.168,120.111,1992,6,22,21.219,0.21,NA,0,0.273,0.06729,2.33826,7,34.7489968791797
1,21.04866667,-31.168,129.839,1992,6,22,20.973,0.71,NA,0.01,0.197,0.01476,0.73543,7,49.8258807588076
1,21.03966667,-31.171,10.642,1992,6,22,23.765,0,NA,0,0.041,0.00559,2.12547,7,380.227191413238
1,21.03966667,-31.171,39.728,1992,6,22,23.42,0,NA,0,0.053,0.00825,1.32164,7,160.198787878788
1,21.03966667,-31.171,79.922,1992,6,22,22.422,0,NA,0,0.09,0.00597,1.1746,7,196.750418760469
1,21.03966667,-31.171,98.122,1992,6,22,21.897,0,NA,0.03,0.143,0.01068,0.8398,7,78.6329588014981
1,21.03966667,-31.171,110.162,1992,6,22,21.614,0,NA,0,0.181,0.02369,1.23377,7,52.0797804981005
1,21.03966667,-31.171,119.582,1992,6,22,21.472,0,NA,0,0.251,0.03099,1.59547,7,51.4833817360439
1,21.03966667,-31.171,129.207,1992,6,22,21.305,0.05,NA,0,0.282,0.04439,1.79204,7,40.370353683262
1,21.03966667,-31.171,140.854,1992,6,22,21.068,0.47,NA,0.01,0.227,0.06286,1.54112,7,24.5167037861915
1,21.03966667,-31.171,148.436,1992,6,22,20.88,0.86,NA,0.36,0.185,0.05264,1.35535,7,25.7475303951368
1,NA,NA,5,1992,6,23,NA,NA,NA,NA,0.073,0.00744,2.29538,9,308.518817204301
1,NA,NA,15,1992,6,23,NA,NA,NA,NA,0.054,0.00722,2.10281,9,291.247922437673
1,NA,NA,30,1992,6,23,NA,0.02,NA,0.01,0.053,0.00937,2.89836,9,309.323372465315
1,NA,NA,50,1992,6,23,NA,0.06,NA,0.01,0.045,0.01373,3.00006,9,218.504005826657
1,NA,NA,70,1992,6,23,NA,0.06,NA,0,0.045,0.01475,3.12718,9,212.012203389831
1,NA,NA,90,1992,6,23,NA,0,NA,0,0.118,0.01737,1.08289,9,62.342544617156
1,NA,NA,100,1992,6,23,NA,0.02,NA,0.01,0.136,0.01695,0.84747,9,49.9982300884956
1,NA,NA,110,1992,6,23,NA,0,NA,0.01,0.231,0.02888,1.43402,9,49.654432132964
1,NA,NA,120,1992,6,23,NA,0.32,NA,0.02,0.313,0.03966,1.35121,9,34.0698436712052
1,NA,NA,140,1992,6,23,NA,1.66,NA,0.08,0.147,0.0729,1.53869,9,21.1068587105624
